id,village,villageName,title,challengeType,numChoices
mission_v1_01,1,เข้าถึง (Access),มื้อนี้...โซเดียมเท่าไหร่?,multiple_choice,3
mission_v1_02,1,เข้าถึง (Access),ชุดใหญ่จัดเต็ม บ่เข็ดตึงบ่จำ,multiple_choice,2
mission_v1_03,1,เข้าถึง (Access),ปฏิบัติการยึดขวดน้ำปลาจากพ่ออุ๊ย,food_card_select_threshold,-
mission_v1_04,1,เข้าถึง (Access),"ปฏิบัติการ ""แอปสู้ฝุ่น""",multiple_choice,2
mission_v1_05,1,เข้าถึง (Access),เปิดโซนอันตราย ทลายภัยเงียบ,multiple_choice,3
mission_v1_06,1,เข้าถึง (Access),หมุดปักพิทักษ์หัวใจ,multiple_choice,2
mission_v1_07,1,เข้าถึง (Access),ข่าวลวง,multiple_choice,2
mission_v1_08,1,เข้าถึง (Access),น้ำหวานท้ายซอย,multiple_choice,2
mission_v1_09,1,เข้าถึง (Access),ส่องฉลากกาดแลง,multiple_choice,2
mission_v1_10,1,เข้าถึง (Access),สแกน 1669 นาทีชีวิตสโตรก,multiple_choice,2
mission_v1_11,1,เข้าถึง (Access),สแกนจุดวัดความดัน,multiple_choice,2
mission_v1_12,1,เข้าถึง (Access),ค้นโพย FAST เช็กอาการหลอดเลือดสมอง,multiple_choice,2
mission_v1_13,1,เข้าถึง (Access),สแกนฟ้าเช็ก PM2.5 เซฟหลอดเลือดสมอง,multiple_choice,2
mission_v1_14,1,เข้าถึง (Access),สมาร์ท อสม. ชี้เป้าขาดยา,multiple_choice,2
mission_v1_15,1,เข้าถึง (Access),สแกนหาเกลือต่ำ ในรถพุ่มพวง,multiple_choice,2
mission_v2_01,2,เข้าใจ (Understand),"รหัสลับ ""นัวแต่เน้นๆ""",food_card_select_threshold,-
mission_v2_02,2,เข้าใจ (Understand),แม่ค้าสาดนัว เส้นลวดหัวตึงต๊องเบรก,multiple_choice,2
mission_v2_03,2,เข้าใจ (Understand),เข้าใจผิด,multiple_choice,2
mission_v2_04,2,เข้าใจ (Understand),หวานตัดเปรี้ยว,multiple_choice,2
mission_v2_05,2,เข้าใจ (Understand),บ้านนี้วุ่น,multiple_choice,2
mission_v2_06,2,เข้าใจ (Understand),ใจดีผิดๆ,multiple_choice,2
mission_v2_07,2,เข้าใจ (Understand),เหงื่อออก ไม่ใช่น้ำตาลลด,multiple_choice,2
mission_v2_08,2,เข้าใจ (Understand),สู่ขวัญกิ๋นดี ลำดีไตบ่พัง,multiple_choice,2
mission_v2_09,2,เข้าใจ (Understand),ลมหนาวมาเยือน เลือดงวดหลอดเลือดตึง,multiple_choice,2
mission_v2_10,2,เข้าใจ (Understand),"รหัสลับ ""แกงโฮะอุ่นซ้ำ"" ยิ่งงวดยิ่งเสี่ยง",multiple_choice,2
mission_v2_11,2,เข้าใจ (Understand),แคบหมูติดมัน กับดักหลอดเลือดตีบ,multiple_choice,2
mission_v2_12,2,เข้าใจ (Understand),ยาหอมไม่ได้แก้สโตรก... ยิ่งป้อนยิ่งอันตราย,multiple_choice,2
mission_v2_13,2,เข้าใจ (Understand),เหล้าต้มเหล้ากลั่น... ตัวจุดชนวนเส้นเลือดแตก,multiple_choice,2
mission_v2_14,2,เข้าใจ (Understand),"สลัดภาพ ""บ่ปวดหัว = บ่เป็นหยัง""",multiple_choice,2
mission_v2_15,2,เข้าใจ (Understand),หวานซ่อนเสี่ยง... เลือดข้นหลอดเลือดขรุขระ,multiple_choice,2
mission_v3_01,3,ไต่ถาม (Question),เช็กก่อนแชร์ แน่ใจก่อนเชื่อ,multiple_choice,3
mission_v3_02,3,ไต่ถาม (Question),โพยลับ อุ้ยก๋ำศออู้จา,multiple_choice,2
mission_v3_03,3,ไต่ถาม (Question),เอ๊ะก่อนกิน,multiple_choice,2
mission_v3_04,3,ไต่ถาม (Question),แครกเกอร์หวานซ่อนเค็ม อุ้ยเอ๊ะใจ๋ฟั่งถาม,multiple_choice,2
mission_v3_05,3,ไต่ถาม (Question),คลินิกไขข้อข้องใจเรื่องยา,multiple_choice,2
mission_v3_06,3,ไต่ถาม (Question),3 คำถามชี้ขาดนาทีชีวิต,multiple_choice,2
mission_v3_07,3,ไต่ถาม (Question),นักสืบยาลูกกลอนปริศนา,multiple_choice,2
mission_v3_08,3,ไต่ถาม (Question),อย่าพลาดนัดสำคัญ,multiple_choice,2
mission_v3_09,3,ไต่ถาม (Question),เอ๊ะสายด่วน! สแกนวูบชั่วคราว (TIA),multiple_choice,2
mission_v3_10,3,ไต่ถาม (Question),สืบเจาะลึก... โซเดียมแฝงในถั่วเน่าเมอะ,multiple_choice,2
mission_v3_11,3,ไต่ถาม (Question),สแกนหัวใจพริ้ว (AF) ภัยเงียบสโตรก,multiple_choice,2
mission_v3_12,3,ไต่ถาม (Question),โพยเตรียมถามหมอ... ชะลอสโตรก,multiple_choice,2
mission_v3_13,3,ไต่ถาม (Question),นักสืบยาสมุนไพร... ชะลอไตสู้สโตรก,multiple_choice,2
mission_v3_14,3,ไต่ถาม (Question),เช็กประวัติครอบครัว... แก้วิกฤตสโตรก,multiple_choice,2
mission_v3_15,3,ไต่ถาม (Question),เจาะลึกสัญญาณเตือน FAST ในวงส้มตำ,multiple_choice,2
mission_v4_01,4,ตัดสินใจ (Decide),เดิมพันหักดิบ พ่ออุ้ยอินท้าดวลบุหรี่,multiple_choice,3
mission_v4_02,4,ตัดสินใจ (Decide),หักดิบ... ลาขาดน้ำปลาพริก,multiple_choice,3
mission_v4_03,4,ตัดสินใจ (Decide),บาสโลบขยับเส้นลบความเสี่ยง,multiple_choice,2
mission_v4_04,4,ตัดสินใจ (Decide),แข่งกับเวลาด้วยหลัก FAST,multiple_choice,2
mission_v4_05,4,ตัดสินใจ (Decide),ฝ่าวิกฤต 4.5 ชั่วโมงกู้ชีวิต,multiple_choice,3
mission_v4_06,4,ตัดสินใจ (Decide),ทางแยกอารมณ์,multiple_choice,2
mission_v4_07,4,ตัดสินใจ (Decide),ชั่งใจ,multiple_choice,2
mission_v4_08,4,ตัดสินใจ (Decide),ทำไรก่อนดี,multiple_choice,3
mission_v4_09,4,ตัดสินใจ (Decide),เสี้ยวนาทีทอง... ตัดสินใจส่ง รพ. หรือรอฮ้องขวัญ,multiple_choice,2
mission_v4_10,4,ตัดสินใจ (Decide),พลิกสำรับงานปอย... ตัดสินใจเปลี่ยนเมนูเพื่อหลอดเลือด,multiple_choice,2
mission_v4_11,4,ตัดสินใจ (Decide),ลุยงานเกี่ยวข้าว... ตัดสินใจกินยาหรือปล่อยผ่าน,multiple_choice,2
mission_v4_12,4,ตัดสินใจ (Decide),หมอเป่าเข่า-น้ำมันวิเศษ... ตัดสินใจเลือกเส้นทางฟื้นฟู,multiple_choice,2
mission_v4_13,4,ตัดสินใจ (Decide),ฤดูควันไฟป่า... ตัดสินใจปรับกิจกรรมเซฟหัวใจและสมอง,multiple_choice,2
mission_v4_14,4,ตัดสินใจ (Decide),ตานความเค็ม... ตัดสินใจซื้อเครื่องวัดความดันหรือของฝากฟุ่มเฟือย,multiple_choice,2
mission_v4_15,4,ตัดสินใจ (Decide),ปลดล็อกเหล้าตอง... ตัดสินใจทำพันธสัญญาเลิกเหล้าลดเค็ม,multiple_choice,2
mission_v5_01,5,นำไปใช้ (Apply),ทำทันที,multiple_choice,2
mission_v5_02,5,นำไปใช้ (Apply),ลุกวูบ เสี่ยงล้ม,multiple_choice,3
mission_v5_03,5,นำไปใช้ (Apply),กล่องยา แยกมื้อ,multiple_choice,2
mission_v5_04,5,นำไปใช้ (Apply),ธาราบำบัด,multiple_choice,2
mission_v5_05,5,นำไปใช้ (Apply),กู้วิกฤติทางใจ,multiple_choice,2
mission_v5_06,5,นำไปใช้ (Apply),คู่หู เซฟชีวิต,multiple_choice,2
mission_v5_07,5,นำไปใช้ (Apply),ไม่ถึงคราว…ไม่รู้หรอก,multiple_choice,2
mission_v5_08,5,นำไปใช้ (Apply),พลังครอบครัว,multiple_choice,2
mission_v5_09,5,นำไปใช้ (Apply),ซ้อมแผนเผชิญเหตุ 'FAST ชุมชน' นาทีชีวิต,multiple_choice,2
mission_v5_10,5,นำไปใช้ (Apply),ช้อนตวงลดเค็ม' พลิกสูตรครัวล้านนา,multiple_choice,2
mission_v5_11,5,นำไปใช้ (Apply),กล่องยา 7 วัน' นวัตกรรมคุมความดันเป๊ะปัง,multiple_choice,2
mission_v5_12,5,นำไปใช้ (Apply),บาสโลบฟ้อนเมือง' ขยับกายสลายหลอดเลือดตีบ,multiple_choice,2
mission_v5_13,5,นำไปใช้ (Apply),ม่านกั้นห้องปลอดฝุ่น' กู้ปอดเซฟหลอดเลือดสมอง,multiple_choice,2
mission_v5_14,5,นำไปใช้ (Apply),สมุดบันทึกความดันคู่หู' พิชิตภัยเงียบ,multiple_choice,2
mission_v5_15,5,นำไปใช้ (Apply),กติกาคุ้มบ้าน ปลอดควัน-เลิกเหล้าตอง',multiple_choice,2
